letter,center_x,center_y,relative_center_x,relative_center_y,inertia_x,inertia_y,relative_inertia_x,relative_inertia_y
𐒀,19.045673076923077,13.766826923076923,0.48772089397089397,0.4910318047337278,26004.382211538454,51478.1322115384,0.1502657071210386,0.2974651685670442
𐒁,17.584415584415584,14.541743970315398,0.4606782106782107,0.43683045065533543,43647.81076066787,57228.90909090914,0.1502397787446273,0.19698716819406906
𐒂,18.3,16.861538461538462,0.48055555555555557,0.49567307692307694,27520.523076923033,36513.900000000045,0.18093703535123626,0.24006508875739674
𐒃,17.753012048192772,3.3373493975903616,0.46536144578313254,0.3339070567986231,487.1084337349404,19010.873493975916,0.01767703707849254,0.6898996042232515
𐒄,17.978388998035363,15.455795677799607,0.4588753783252801,0.42517046111175316,51724.2554027505,65152.76227897801,0.19964511254299042,0.2514764196485964
𐒅,20.80504587155963,12.830275229357799,0.5211854176726218,0.39434250764525997,33265.44036697247,56036.428899082624,0.1749928476505159,0.2947796318653871
𐒆,19.002237136465325,15.53020134228188,0.4737430825385612,0.4687161723316735,50077.34228187924,64634.99776286346,0.2506260592960239,0.3234839159540534
𐒇,13.914798206278027,14.192825112107624,0.35874439461883406,0.6596412556053812,4770.708520179377,29679.381165919287,0.09593413340665159,0.5968224007303442
𐒈,20.78342245989305,11.096256684491978,0.5206163805235013,0.4389676819344338,15330.53475935828,48497.45721925139,0.10960089478794274,0.346717501352994
𐒉,17.560526315789474,11.68157894736842,0.435803324099723,0.46441647597254,15434.471052631558,48841.60789473684,0.10688691864703295,0.33823828181950716
𐒊,20.25294117647059,14.458823529411765,0.506656346749226,0.4640973630831643,14562.423529411779,44624.247058823574,0.12597252188072472,0.38602289843272986
𐒋,18.727506426735218,12.133676092544988,0.49243073407597826,0.48407287358891254,14285.048843187627,41781.11568123398,0.09440228945875079,0.27610916978630845
𐒌,20.65783664459161,12.487858719646798,0.5173114906471477,0.38292862398822664,30477.18322295804,55735.96467991168,0.14851777077495645,0.2716058490607706
𐒍,18.12857142857143,12.48,0.4757936507936508,0.44153846153846155,17619.36,40599.21428571421,0.14383151020408164,0.33142215743440173
𐒎,19.764705882352942,19.65158371040724,0.49380804953560375,0.5040968570380335,70380.51583710405,90395.29411764677,0.16011255533739652,0.2056452891756397
𐒏,18.05191256830601,10.601092896174864,0.4736642380085003,0.48005464480874316,12179.759562841526,39068.01366120223,0.09092358358596499,0.2916481058049078
𐒐,19.975501113585747,14.587973273942094,0.4993552924627828,0.42462416481069043,40548.7750556793,61284.73051225027,0.20113379921567504,0.30399021092281425
𐒑,20.897689768976896,10.594059405940595,0.5377753991615377,0.45685997171145687,12435.069306930698,33473.828382838285,0.13544499239650468,0.36460290802468476
𐒒,20.161643835616438,11.213698630136987,0.504253785147801,0.44407385348421685,15407.331506849314,54111.46301369861,0.11564895107411757,0.40616598246349117
𐒓,19.1340206185567,18.49484536082474,0.5037227949599083,0.4373711340206185,60391.23711340213,49348.28865979384,0.2567381745707392,0.20979185316098986
𐒔,18.72872340425532,11.138297872340425,0.4924645390070922,0.4224290780141844,19052.80851063831,43866.329787234085,0.13476692303246882,0.3102813050817259
𐒕,19.514435695538058,9.490813648293964,0.4872219919878436,0.36916581079538974,14591.217847769049,52219.17060367458,0.10051747954181253,0.35973278362421435
𐒖,19.902208201892744,12.8801261829653,0.49742653162875644,0.5165272253463175,10389.444794952673,50307.96845425858,0.10338887634420357,0.5006315960379601
𐒗,21.68032786885246,6.229508196721311,0.5744535519125683,0.32684426229508196,5509.147540983607,26831.06557377049,0.09253472757631696,0.45066960450434174
𐒘,15.907514450867051,10.757225433526012,0.40290579596937975,0.48786127167630056,12149.606936416185,35857.04046242774,0.10148691015750765,0.29951752867142023
𐒙,21.72142857142857,18.909523809523808,0.5453007518796993,0.4713032581453634,41326.56190476186,51014.407142857155,0.2342775618183779,0.2891973194039521
𐒚,19.32051282051282,13.743589743589743,0.5089031339031339,0.5792540792540792,14177.487179487183,36359.94871794868,0.14564315396415992,0.37352018324651426
𐒛,16.226973684210527,10.394736842105264,0.4115398293029872,0.4473684210526316,12408.63157894736,33431.33881578948,0.13426929946056265,0.3617483857317941
𐒜,21.430131004366814,14.034934497816593,0.5675036390101893,0.40734170305676853,42027.441048034874,53810.26419213984,0.20035583345109206,0.2565276415025449
𐒝,22.38348623853211,23.541284403669724,0.5627233220666344,0.4600262123197903,97345.32110091703,57122.85137614672,0.3277344368350039,0.19231664464656753
